State,Living WWII Veterans (2025)
Alabama,394
Alaska,0
Arizona,984
Arkansas,267
California,5094
Colorado,624
Connecticut,830
Delaware,194
District of Columbia,72
Florida,3753
Georgia,977
Hawaii,182
Idaho,229
Illinois,1724
Indiana,873
Iowa,288
Kansas,241
Kentucky,505
Louisiana,214
Maine,221
Maryland,889
Massachusetts,920
Michigan,1691
Minnesota,1224
Mississippi,352
Missouri,907
Montana,261
Nebraska,162
Nevada,359
New Hampshire,600
New Jersey,1090
New Mexico,39
New York,2400
North Carolina,1206
North Dakota,181
Ohio,1618
Oklahoma,462
Oregon,980
Pennsylvania,2642
Rhode Island,314
South Carolina,747
South Dakota,81
Tennessee,860
Texas,2720
Utah,535
Vermont,66
Virginia,1456
Washington,1328
West Virginia,134
Wisconsin,1238
Wyoming,59
Puerto Rico,153
Island Areas & Foreign,78
