Income_Deprivation_Decile,"Anti-social behaviour, public order and miscellaneous","Arson, burglary and criminal damage",Drugs and weapons offences,Theft and shoplifting,Vehicle crime,"Violence, robbery and sexual offences"
1 (most deprived),41406,12855,6656,25756,11253,40121
2,62499,20510,9343,47831,17142,60353
3,59878,20090,8681,48384,16075,56892
4,44018,15427,6365,49352,13476,41955
5,28994,10908,3636,40422,9462,27374
6,22191,9126,2995,38143,7900,22080
7,14177,6380,1754,17597,5767,14018
8,10051,4567,1459,11489,4887,9610
9,9157,4286,1004,15490,4607,8201
10 (least deprived),10664,5627,1640,23620,6099,11306
