year,total_attacks,population,attacks_per_million
1994,24,263125821,0.09121111682916136
1995,34,266278393,0.12768591404260127
1996,22,269394284,0.08166468743635258
1997,27,272657333,0.09902539463334367
1998,20,275854104,0.07250209335294137
1999,28,279040168,0.10034397628372987
2000,9,282162411,0.03189652359470376
2001,19,284968955,0.06667392944610405
2002,8,287625193,0.02781397525216089
2003,16,290107933,0.05515188721157791
2004,11,292805298,0.037567626252445745
2005,10,295516599,0.033839046719673437
2006,7,298379912,0.023460024346411094
2007,8,301231207,0.0265576733555365
2008,12,304093966,0.03946148671690513
2009,13,306771529,0.042376813918738855
2010,23,NA,NA
2011,21,308745538,0.06801717730411379
2012,23,308758105,0.0744919716358539
2013,13,309321666,0.042027447246453145
2014,26,311556874,0.08345185797441272
2015,43,313830990,0.1370164240312915
2016,38,315993715,0.12025555634864447
2017,44,318301008,0.1382339323286089
2018,20,320635163,0.062376190474155824
2019,44,322941311,0.13624766637551675
2020,46,324985539,0.14154475962698143
2021,26,326687501,0.07958676080478513
2022,40,328239523,0.12186222924775575
2023,38,334914895,0.11346166016294976
2024,25,336055756.49524987,0.07439241708199507
