Date,Demand (GW),Fossil Fuels (GW),Renewables (GW),Other Sources (GW),Transfers (GW)
29/01/2024,33.3,8.1,15.9,6.1,3.2
05/02/2024,33.4,10.2,12.4,6.3,4.5
12/02/2024,31.8,9.9,11.6,5.9,4.4
19/02/2024,32.7,8.4,12.5,6.0,5.8
26/02/2024,34.0,11.2,11.8,6.2,4.8
04/03/2024,33.5,9.8,13.3,5.1,5.3
11/03/2024,31.8,8.5,12.2,5.2,5.9
18/03/2024,31.0,7.7,13.9,5.4,4.0
25/03/2024,30.6,6.9,11.9,5.9,5.9
01/04/2024,29.6,5.0,14.8,6.4,3.4
08/04/2024,29.6,3.8,16.3,7.3,2.2
15/04/2024,30.4,4.4,14.9,7.7,3.4
22/04/2024,30.4,10.2,8.0,8.1,4.1
29/04/2024,28.5,6.1,9.8,7.6,5.0
06/05/2024,26.6,8.0,6.9,7.6,4.1
13/05/2024,26.8,8.7,6.7,6.5,4.9
20/05/2024,26.8,7.6,8.0,6.2,5.0
27/05/2024,26.2,4.1,11.2,6.5,4.4
03/06/2024,26.9,4.4,12.3,6.2,4.0
10/06/2024,27.2,5.9,10.3,6.3,4.7
17/06/2024,26.7,6.8,8.0,6.9,5.0
24/06/2024,27.0,6.6,9.4,6.9,4.1
01/07/2024,26.9,4.6,11.8,6.8,3.7
08/07/2024,26.7,6.9,8.5,6.3,5.0
15/07/2024,27.0,7.7,7.6,6.6,5.1
22/07/2024,26.4,7.8,7.1,6.6,4.9
29/07/2024,26.6,6.9,7.9,7.1,4.7
05/08/2024,26.6,3.8,12.6,7.2,3.0
12/08/2024,26.8,5.0,10.8,8.3,2.7
19/08/2024,26.6,3.4,15.4,6.8,1.0
26/08/2024,26.1,6.3,10.5,6.9,2.4
02/09/2024,27.4,8.6,7.0,7.7,4.1
09/09/2024,27.8,5.6,12.6,6.8,2.8
16/09/2024,27.3,8.2,7.4,7.5,4.2
23/09/2024,28.8,8.1,10.3,6.7,3.7
30/09/2024,29.5,6.8,12.4,6.8,3.5
07/10/2024,30.0,8.3,11.3,6.3,4.1
14/10/2024,30.1,9.6,11.7,6.4,2.4
21/10/2024,29.9,9.3,11.1,6.5,3.0
28/10/2024,29.9,13.0,6.0,6.7,4.2
04/11/2024,31.1,16.8,4.3,7.4,2.6
11/11/2024,32.4,12.4,9.9,7.3,2.8
18/11/2024,36.1,11.0,14.4,6.7,4.0
25/11/2024,34.7,11.7,14.6,5.0,3.4
02/12/2024,34.7,10.6,15.6,5.3,3.2
09/12/2024,34.9,16.9,10.0,6.0,2.0
16/12/2024,34.6,5.8,20.1,6.3,2.4
23/12/2024,30.0,9.1,10.5,6.9,3.5
30/12/2024,33.0,8.1,14.9,6.9,3.1
06/01/2025,38.3,16.0,10.7,7.1,4.5
13/01/2025,36.0,18.8,10.4,6.4,0.4
20/01/2025,36.0,14.8,11.0,6.7,3.5
